gene	status	length_ours	length_reference	length_difference	first_difference_1_based	orf_end_1_based	first_difference_is_right_after_orf	triplet_at_difference_in_ours	triplet_is_stop_codon
ENSG00000005486	extra_triplet_right_after_orf	1802	1799	3	1228	1227	True	TGA	True
ENSG00000005513	extra_triplet_right_after_orf	3049	3046	3	1454	1453	True	TGA	True
ENSG00000005700	extra_triplet_right_after_orf	6054	6051	3	4611	4609	True	TAG	True
ENSG00000005801	extra_triplet_right_after_orf	3342	3339	3	2150	2149	True	TGA	True
ENSG00000005812	extra_triplet_right_after_orf	3503	3500	3	1610	1609	True	TAA	True
ENSG00000005844	extra_triplet_right_after_orf	5213	5210	3	3691	3690	True	TGA	True
ENSG00000005882	extra_triplet_right_after_orf	3440	3437	3	1383	1382	True	TAA	True
ENSG00000005889	extra_triplet_right_after_orf	7513	7510	3	2632	2631	True	TAA	True
ENSG00000005893	extra_triplet_right_after_orf	2089	2086	3	1431	1429	True	TAA	True
ENSG00000005961	extra_triplet_right_after_orf	3333	3330	3	3152	3149	True	TGA	True
ENSG00000006007	extra_triplet_right_after_orf	2958	2955	3	1175	1174	True	TAG	True
ENSG00000006016	extra_triplet_right_after_orf	1792	1789	3	1461	1460	True	TAA	True
ENSG00000006025	extra_triplet_right_after_orf	3640	3637	3	2719	2718	True	TAG	True
ENSG00000006042	extra_triplet_right_after_orf	4434	4431	3	1111	1109	True	TAG	True
ENSG00000006047	extra_triplet_right_after_orf	1590	1587	3	1158	1156	True	TGA	True
ENSG00000006062	extra_triplet_right_after_orf	4460	4457	3	2943	2942	True	TAA	True
ENSG00000006071	extra_triplet_right_after_orf	4923	4920	3	4816	4815	True	TGA	True
ENSG00000006118	extra_triplet_right_after_orf	3480	3477	3	3226	3225	True	TGA	True
ENSG00000006125	extra_triplet_right_after_orf	3415	3412	3	3026	3025	True	TAA	True
ENSG00000006194	extra_triplet_right_after_orf	3830	3827	3	2928	2925	True	TAG	True
ENSG00000006210	extra_triplet_right_after_orf	3313	3310	3	1302	1301	True	TGA	True
ENSG00000006282	extra_triplet_right_after_orf	2719	2716	3	2527	2526	True	TGA	True
ENSG00000006327	extra_triplet_right_after_orf	1133	1130	3	702	701	True	TGA	True
ENSG00000006377	extra_triplet_right_after_orf	2304	2301	3	1310	1309	True	TGA	True
ENSG00000006432	extra_triplet_right_after_orf	4449	4446	3	3718	3717	True	TAG	True
ENSG00000006451	extra_triplet_right_after_orf	2880	2877	3	1000	998	True	TAA	True
ENSG00000006453	extra_triplet_right_after_orf	3622	3619	3	1750	1749	True	TGA	True
ENSG00000006459	extra_triplet_right_after_orf	9272	9269	3	2922	2921	True	TGA	True
ENSG00000006468	extra_triplet_right_after_orf	4181	4178	3	1581	1580	True	TAA	True
ENSG00000006530	extra_triplet_right_after_orf	3849	3846	3	1527	1526	True	TGA	True
ENSG00000006534	extra_triplet_right_after_orf	2786	2783	3	1447	1446	True	TGA	True
ENSG00000006576	extra_triplet_right_after_orf	5198	5195	3	2571	2570	True	TGA	True
ENSG00000006607	extra_triplet_right_after_orf	4051	4048	3	3333	3332	True	TGA	True
ENSG00000006625	extra_triplet_right_after_orf	1173	1170	3	700	699	True	TAG	True
ENSG00000006634	extra_triplet_right_after_orf	3907	3904	3	2527	2526	True	TAG	True
ENSG00000006638	extra_triplet_right_after_orf	1494	1491	3	1436	1435	True	TGA	True
ENSG00000006652	extra_triplet_right_after_orf	2290	2287	3	1615	1614	True	TAG	True
ENSG00000006695	extra_triplet_right_after_orf	2873	2870	3	1407	1406	True	TGA	True
ENSG00000006704	extra_triplet_right_after_orf	3315	3312	3	3142	3141	True	TAG	True
ENSG00000006712	extra_triplet_right_after_orf	2066	2063	3	1925	1924	True	TGA	True
ENSG00000006715	extra_triplet_right_after_orf	5903	5900	3	2618	2617	True	TAG	True
ENSG00000006740	extra_triplet_right_after_orf	4228	4225	3	2755	2754	True	TGA	True
ENSG00000006744	extra_triplet_right_after_orf	3148	3145	3	2719	2718	True	TGA	True
ENSG00000006747	extra_triplet_right_after_orf	9713	9710	3	2247	2246	True	TAA	True
ENSG00000006756	extra_triplet_right_after_orf	5159	5156	3	1856	1855	True	TGA	True
ENSG00000006757	extra_triplet_right_after_orf	3372	3369	3	931	930	True	TAA	True
ENSG00000006831	extra_triplet_right_after_orf	4018	4015	3	1411	1409	True	TGA	True
ENSG00000006837	extra_triplet_right_after_orf	2130	2127	3	1897	1895	True	TAG	True
ENSG00000007038	extra_triplet_right_after_orf	1101	1098	3	985	984	True	TGA	True
ENSG00000007047	extra_triplet_right_after_orf	3573	3570	3	2588	2587	True	TGA	True
ENSG00000007062	extra_triplet_right_after_orf	3977	3974	3	2809	2807	True	TGA	True
ENSG00000007080	extra_triplet_right_after_orf	1055	1052	3	777	776	True	TGA	True
ENSG00000007129	extra_triplet_right_after_orf	1008	1005	3	906	905	True	TAG	True
ENSG00000007168	extra_triplet_right_after_orf	5497	5494	3	1683	1681	True	TGA	True
ENSG00000007171	extra_triplet_right_after_orf	4176	4173	3	3694	3693	True	TGA	True
ENSG00000007202	extra_triplet_right_after_orf	7407	7404	3	6782	6780	True	TGA	True
ENSG00000007216	extra_triplet_right_after_orf	2855	2852	3	2344	2343	True	TAG	True
ENSG00000007237	extra_triplet_right_after_orf	4970	4967	3	1590	1589	True	TAG	True
ENSG00000007255	extra_triplet_right_after_orf	805	802	3	539	538	True	TAA	True
ENSG00000007264	extra_triplet_right_after_orf	1990	1987	3	1847	1846	True	TGA	True
ENSG00000007312	extra_triplet_right_after_orf	1254	1251	3	766	765	True	TGA	True
ENSG00000007341	extra_triplet_right_after_orf	4528	4525	3	2031	2030	True	TGA	True
ENSG00000007372	extra_triplet_right_after_orf	6922	6919	3	1778	1777	True	TAA	True
ENSG00000007376	extra_triplet_right_after_orf	2159	2156	3	1181	1180	True	TGA	True
ENSG00000007384	extra_triplet_right_after_orf	2992	2989	3	2709	2708	True	TGA	True
ENSG00000007392	extra_triplet_right_after_orf	1456	1453	3	1225	1224	True	TGA	True
ENSG00000007516	extra_triplet_right_after_orf	4678	4675	3	3720	3719	True	TGA	True
ENSG00000007520	extra_triplet_right_after_orf	1243	1240	3	1044	1043	True	TGA	True
ENSG00000007541	extra_triplet_right_after_orf	2846	2843	3	2369	2368	True	TGA	True
ENSG00000007545	extra_triplet_right_after_orf	7772	7769	3	3907	3906	True	TGA	True
ENSG00000007866	extra_triplet_right_after_orf	2983	2980	3	1534	1533	True	TAG	True
ENSG00000007923	extra_triplet_right_after_orf	3311	3308	3	1802	1801	True	TAA	True
ENSG00000007944	extra_triplet_right_after_orf	1666	1663	3	1535	1533	True	TAA	True
ENSG00000007968	extra_triplet_right_after_orf	5191	5188	3	1739	1738	True	TGA	True
ENSG00000008018	extra_triplet_right_after_orf	928	925	3	824	822	True	TGA	True
ENSG00000008056	extra_triplet_right_after_orf	3209	3206	3	2242	2240	True	TGA	True
ENSG00000008083	extra_triplet_right_after_orf	5755	5752	3	3983	3982	True	TGA	True
ENSG00000008086	extra_triplet_right_after_orf	3463	3460	3	3376	3375	True	TGA	True
ENSG00000008128	extra_triplet_right_after_orf	2458	2455	3	2430	2429	True	TGA	True
ENSG00000008130	extra_triplet_right_after_orf	3653	3650	3	1979	1978	True	TAG	True
ENSG00000008256	extra_triplet_right_after_orf	4508	4505	3	1338	1337	True	TAG	True
ENSG00000008277	extra_triplet_right_after_orf	2891	2888	3	2798	2797	True	TAA	True
ENSG00000008282	extra_triplet_right_after_orf	2127	2124	3	826	824	True	TAA	True
ENSG00000008283	extra_triplet_right_after_orf	1302	1299	3	1040	1037	True	TGA	True
ENSG00000008294	extra_triplet_right_after_orf	8273	8270	3	4173	4172	True	TGA	True
ENSG00000008300	extra_triplet_right_after_orf	11956	11953	3	10218	10217	True	TGA	True
ENSG00000008311	extra_triplet_right_after_orf	3233	3230	3	2876	2874	True	TAA	True
ENSG00000008323	extra_triplet_right_after_orf	2963	2960	3	2601	2600	True	TGA	True
ENSG00000008324	extra_triplet_right_after_orf	1047	1044	3	441	439	True	TAA	True
ENSG00000008394	extra_triplet_right_after_orf	979	976	3	609	608	True	TAA	True
ENSG00000008405	extra_triplet_right_after_orf	3267	3264	3	2627	2626	True	TAG	True
ENSG00000008441	extra_triplet_right_after_orf	1692	1689	3	1585	1583	True	TGA	True
ENSG00000008513	extra_triplet_right_after_orf	6764	6761	3	1846	1845	True	TGA	True
ENSG00000008516	extra_triplet_right_after_orf	3554	3551	3	1926	1923	True	TGA	True
ENSG00000008517	extra_triplet_right_after_orf	1067	1064	3	780	779	True	TGA	True
ENSG00000008735	extra_triplet_right_after_orf	3381	3378	3	2607	2606	True	TAG	True
ENSG00000008838	extra_triplet_right_after_orf	3896	3893	3	3462	3461	True	TGA	True
ENSG00000008853	extra_triplet_right_after_orf	3505	3502	3	2531	2530	True	TGA	True
ENSG00000008869	extra_triplet_right_after_orf	6905	6902	3	6311	6309	True	TAA	True
ENSG00000008952	extra_triplet_right_after_orf	6568	6565	3	1257	1255	True	TAA	True
ENSG00000008988	extra_triplet_right_after_orf	1826	1823	3	553	552	True	TAA	True
ENSG00000009307	extra_triplet_right_after_orf	4312	4309	3	3055	3054	True	TAA	True
ENSG00000009335	extra_triplet_right_after_orf	5229	5226	3	3610	3609	True	TGA	True
ENSG00000009413	extra_triplet_right_after_orf	10701	10698	3	9714	9713	True	TAA	True
ENSG00000009709	extra_triplet_right_after_orf	2260	2257	3	2159	2158	True	TAA	True
ENSG00000009780	extra_triplet_right_after_orf	3567	3564	3	1024	1023	True	TGA	True
ENSG00000009790	extra_triplet_right_after_orf	2243	2240	3	2074	2073	True	TGA	True
ENSG00000009830	extra_triplet_right_after_orf	4876	4873	3	2454	2453	True	TGA	True
ENSG00000009844	extra_triplet_right_after_orf	7028	7025	3	980	979	True	TGA	True
ENSG00000009950	extra_triplet_right_after_orf	3278	3275	3	2606	2604	True	TAG	True
ENSG00000009954	extra_triplet_right_after_orf	6102	6099	3	4789	4788	True	TAG	True
ENSG00000010017	extra_triplet_right_after_orf	3113	3110	3	2247	2246	True	TAG	True
ENSG00000010072	extra_triplet_right_after_orf	3468	3465	3	1804	1803	True	TGA	True
ENSG00000010165	extra_triplet_right_after_orf	3327	3324	3	2364	2363	True	TGA	True
ENSG00000010219	extra_triplet_right_after_orf	2068	2065	3	1945	1944	True	TGA	True
ENSG00000010244	extra_triplet_right_after_orf	1905	1902	3	1803	1801	True	TGA	True
ENSG00000010256	extra_triplet_right_after_orf	1985	1982	3	1858	1857	True	TAG	True
ENSG00000010270	extra_triplet_right_after_orf	1728	1725	3	960	959	True	TGA	True
ENSG00000010278	extra_triplet_right_after_orf	1556	1553	3	1121	1120	True	TAG	True
ENSG00000010282	extra_triplet_right_after_orf	1865	1862	3	1775	1774	True	TAG	True
ENSG00000010292	extra_triplet_right_after_orf	5548	5545	3	5003	5002	True	TAG	True
ENSG00000010295	extra_triplet_right_after_orf	2724	2721	3	1768	1767	True	TAG	True
ENSG00000010310	extra_triplet_right_after_orf	3289	3286	3	1498	1497	True	TAG	True
ENSG00000010318	extra_triplet_right_after_orf	2130	2127	3	1804	1803	True	TAA	True
ENSG00000010322	extra_triplet_right_after_orf	5238	5235	3	4647	4646	True	TAG	True
ENSG00000010327	extra_triplet_right_after_orf	7928	7925	3	7787	7786	True	TGA	True
ENSG00000010361	extra_triplet_right_after_orf	1675	1672	3	1419	1418	True	TGA	True
ENSG00000010404	extra_triplet_right_after_orf	7619	7616	3	1861	1860	True	TGA	True
ENSG00000010539	extra_triplet_right_after_orf	3306	3303	3	1739	1736	True	TAA	True
ENSG00000010626	extra_triplet_right_after_orf	1628	1625	3	1249	1248	True	TAG	True
ENSG00000010671	extra_triplet_right_after_orf	2767	2764	3	2327	2326	True	TGA	True
ENSG00000010704	extra_triplet_right_after_orf	5286	5283	3	1167	1166	True	TGA	True
ENSG00000010810	extra_triplet_right_after_orf	3628	3625	3	2219	2218	True	TAA	True
ENSG00000010818	extra_triplet_right_after_orf	9621	9618	3	7980	7978	True	TGA	True
ENSG00000011007	extra_triplet_right_after_orf	5154	5151	3	2666	2665	True	TAA	True
ENSG00000011009	extra_triplet_right_after_orf	1810	1807	3	1001	1000	True	TAA	True
ENSG00000011028	extra_triplet_right_after_orf	5988	5985	3	4840	4839	True	TAG	True
ENSG00000011052	extra_triplet_right_after_orf	1193	1190	3	1053	1052	True	TAA	True
ENSG00000011083	extra_triplet_right_after_orf	2431	2428	3	2245	2241	True	TGA	True
ENSG00000011105	extra_triplet_right_after_orf	958	955	3	834	832	True	TGA	True
ENSG00000011114	extra_triplet_right_after_orf	8430	8427	3	3705	3704	True	TGA	True
ENSG00000011132	extra_triplet_right_after_orf	2075	2072	3	1927	1926	True	TGA	True
ENSG00000011143	extra_triplet_right_after_orf	2397	2394	3	1753	1752	True	TAG	True
ENSG00000011198	extra_triplet_right_after_orf	1690	1687	3	1171	1170	True	TGA	True
ENSG00000011201	extra_triplet_right_after_orf	6314	6311	3	2191	2190	True	TAA	True
ENSG00000011243	extra_triplet_right_after_orf	2146	2143	3	2070	2069	True	TGA	True
ENSG00000011258	extra_triplet_right_after_orf	5382	5379	3	2229	2228	True	TGA	True
ENSG00000011260	extra_triplet_right_after_orf	1894	1891	3	1726	1725	True	TAA	True
ENSG00000011275	extra_triplet_right_after_orf	3293	3290	3	3040	3037	True	TGA	True
ENSG00000011295	extra_triplet_right_after_orf	3002	2999	3	1610	1609	True	TAA	True
ENSG00000011304	extra_triplet_right_after_orf	3691	3688	3	2188	2187	True	TAG	True
ENSG00000011332	extra_triplet_right_after_orf	1632	1629	3	1270	1269	True	TAG	True
ENSG00000011376	extra_triplet_right_after_orf	4744	4741	3	2851	2850	True	TGA	True
ENSG00000011422	extra_triplet_right_after_orf	1548	1545	3	1236	1235	True	TAA	True
ENSG00000011426	extra_triplet_right_after_orf	4787	4784	3	3594	3593	True	TAA	True
ENSG00000011451	extra_triplet_right_after_orf	4609	4606	3	3054	3053	True	TAA	True
ENSG00000011454	extra_triplet_right_after_orf	4997	4994	3	3342	3341	True	TGA	True
ENSG00000011478	extra_triplet_right_after_orf	2310	2307	3	1368	1367	True	TAG	True
ENSG00000011485	extra_triplet_right_after_orf	2109	2106	3	1601	1600	True	TGA	True
ENSG00000011523	extra_triplet_right_after_orf	5847	5844	3	2475	2474	True	TAA	True
ENSG00000011566	extra_triplet_right_after_orf	4362	4359	3	3008	3007	True	TGA	True
ENSG00000011590	extra_triplet_right_after_orf	2068	2065	3	1780	1779	True	TGA	True
ENSG00000011600	extra_triplet_right_after_orf	620	617	3	452	451	True	TGA	True
ENSG00000011638	extra_triplet_right_after_orf	1378	1375	3	712	711	True	TGA	True
ENSG00000011677	extra_triplet_right_after_orf	3712	3709	3	1716	1715	True	TAG	True
ENSG00000012048	extra_triplet_right_after_orf	5936	5933	3	5885	5884	True	TGA	True
ENSG00000012061	extra_triplet_right_after_orf	1278	1275	3	1163	1161	True	TAA	True
ENSG00000012124	extra_triplet_right_after_orf	3268	3265	3	2608	2607	True	TGA	True
ENSG00000012171	extra_triplet_right_after_orf	2958	2955	3	2483	2482	True	TGA	True
ENSG00000012174	extra_triplet_right_after_orf	4428	4425	3	1658	1656	True	TAA	True
ENSG00000012211	extra_triplet_right_after_orf	2062	2059	3	1941	1940	True	TGA	True
ENSG00000012232	extra_triplet_right_after_orf	6483	6480	3	3660	3659	True	TAG	True
ENSG00000012660	extra_triplet_right_after_orf	3081	3078	3	1350	1349	True	TGA	True
ENSG00000012779	extra_triplet_right_after_orf	2506	2503	3	2076	2075	True	TGA	True
ENSG00000012822	extra_triplet_right_after_orf	2291	2288	3	2136	2134	True	TGA	True
ENSG00000012963	extra_triplet_right_after_orf	3694	3691	3	1512	1511	True	TAG	True
ENSG00000012983	extra_triplet_right_after_orf	4354	4351	3	2858	2857	True	TAA	True
ENSG00000013016	extra_triplet_right_after_orf	2281	2278	3	1683	1682	True	TAG	True
ENSG00000013275	extra_triplet_right_after_orf	1591	1588	3	1453	1452	True	TGA	True
ENSG00000013288	extra_triplet_right_after_orf	5143	5140	3	3064	3063	True	TGA	True
ENSG00000013297	extra_triplet_right_after_orf	2169	2166	3	824	823	True	TAA	True
ENSG00000013306	extra_triplet_right_after_orf	1565	1562	3	1198	1197	True	TGA	True
ENSG00000013364	extra_triplet_right_after_orf	2925	2922	3	2873	2872	True	TAA	True
ENSG00000013374	extra_triplet_right_after_orf	3210	3207	3	1984	1983	True	TAA	True
ENSG00000013375	extra_triplet_right_after_orf	1971	1968	3	1858	1857	True	TGA	True
ENSG00000013392	extra_triplet_right_after_orf	3744	3741	3	1082	1081	True	TAA	True
ENSG00000013441	extra_triplet_right_after_orf	2026	2023	3	1914	1913	True	TAG	True
ENSG00000013503	extra_triplet_right_after_orf	4273	4270	3	3622	3621	True	TGA	True
ENSG00000013523	extra_triplet_right_after_orf	5176	5173	3	2124	2123	True	TGA	True
ENSG00000013561	extra_triplet_right_after_orf	4235	4232	3	1733	1731	True	TAG	True
ENSG00000013563	extra_triplet_right_after_orf	3008	3005	3	1537	1536	True	TGA	True
ENSG00000013573	extra_triplet_right_after_orf	3751	3748	3	2991	2990	True	TGA	True
ENSG00000013583	extra_triplet_right_after_orf	1173	1170	3	727	726	True	TGA	True
ENSG00000013588	extra_triplet_right_after_orf	7362	7359	3	1962	1961	True	TAA	True
ENSG00000013619	extra_triplet_right_after_orf	3224	3221	3	3170	3169	True	TAA	True
ENSG00000013725	extra_triplet_right_after_orf	3252	3249	3	2191	2190	True	TAG	True
ENSG00000013810	extra_triplet_right_after_orf	2781	2778	3	2621	2620	True	TGA	True
ENSG00000014123	extra_triplet_right_after_orf	4224	4221	3	2450	2448	True	TAA	True
ENSG00000014138	extra_triplet_right_after_orf	3744	3741	3	2326	2325	True	TGA	True
ENSG00000014164	extra_triplet_right_after_orf	3280	3277	3	2877	2876	True	TGA	True
ENSG00000014216	extra_triplet_right_after_orf	3083	3080	3	2361	2360	True	TGA	True
ENSG00000014641	extra_triplet_right_after_orf	1443	1440	3	1234	1233	True	TGA	True
ENSG00000014824	extra_triplet_right_after_orf	6218	6215	3	1885	1884	True	TGA	True
ENSG00000014914	extra_triplet_right_after_orf	2856	2853	3	2379	2378	True	TAG	True
ENSG00000014919	extra_triplet_right_after_orf	2356	2353	3	1283	1281	True	TGA	True
ENSG00000015133	extra_triplet_right_after_orf	7474	7471	3	6172	6171	True	TGA	True
ENSG00000015153	extra_triplet_right_after_orf	4156	4153	3	669	668	True	TAA	True
ENSG00000015171	extra_triplet_right_after_orf	4229	4226	3	2060	2059	True	TGA	True
ENSG00000015285	extra_triplet_right_after_orf	1849	1846	3	1582	1581	True	TGA	True
ENSG00000015413	extra_triplet_right_after_orf	1592	1589	3	1356	1355	True	TGA	True
ENSG00000015475	extra_triplet_right_after_orf	2495	2492	3	1051	1050	True	TGA	True
ENSG00000015479	extra_triplet_right_after_orf	4843	4840	3	2877	2876	True	TAA	True
ENSG00000015532	extra_triplet_right_after_orf	3507	3504	3	2645	2644	True	TAG	True
ENSG00000015676	extra_triplet_right_after_orf	8256	8253	3	1365	1363	True	TAA	True
ENSG00000016082	extra_triplet_right_after_orf	2459	2456	3	1329	1328	True	TGA	True
ENSG00000016391	extra_triplet_right_after_orf	7665	7662	3	2221	2220	True	TAA	True
ENSG00000016864	extra_triplet_right_after_orf	2149	2146	3	1787	1786	True	TGA	True
ENSG00000017260	extra_triplet_right_after_orf	3579	3576	3	3140	3139	True	TAA	True
ENSG00000017427	extra_triplet_right_after_orf	1097	1094	3	768	767	True	TGA	True
ENSG00000017483	extra_triplet_right_after_orf	2659	2656	3	2262	2260	True	TGA	True
ENSG00000017797	extra_triplet_right_after_orf	4224	4221	3	2043	2042	True	TGA	True
ENSG00000018189	extra_triplet_right_after_orf	3098	3095	3	2440	2439	True	TAA	True
ENSG00000018236	extra_triplet_right_after_orf	5557	5554	3	3172	3171	True	TGA	True
ENSG00000018280	extra_triplet_right_after_orf	3852	3849	3	1991	1990	True	TAG	True
ENSG00000018408	extra_triplet_right_after_orf	5030	5027	3	1459	1457	True	TAA	True
ENSG00000018510	extra_triplet_right_after_orf	7764	7761	3	2121	2120	True	TAA	True
ENSG00000018610	extra_triplet_right_after_orf	1089	1086	3	678	677	True	TAA	True
ENSG00000018699	extra_triplet_right_after_orf	2876	2873	3	2762	2760	True	TGA	True
ENSG00000018869	extra_triplet_right_after_orf	2824	2821	3	1711	1710	True	TAG	True
ENSG00000019102	extra_triplet_right_after_orf	1148	1145	3	1083	1082	True	TGA	True
ENSG00000019144	extra_triplet_right_after_orf	5479	5476	3	4262	4261	True	TAA	True
